Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_status,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,strain_background,Tissue
SRR6652399,P45,RNA-Seq,138,1146520698,PRJNA432094,SAMN08434843,398926353,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629945,GSM2970809,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970809,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652400,P45,RNA-Seq,138,2100656424,PRJNA432094,SAMN08434843,714645308,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629945,GSM2970809,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970809,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652401,P45,RNA-Seq,138,1282004130,PRJNA432094,SAMN08434842,439146947,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629946,GSM2970810,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970810,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652402,P45,RNA-Seq,138,2400964572,PRJNA432094,SAMN08434842,801345412,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629946,GSM2970810,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970810,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652403,P45,RNA-Seq,138,2296941966,PRJNA432094,SAMN08434841,788178367,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629947,GSM2970811,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970811,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652404,P45,RNA-Seq,138,2363294574,PRJNA432094,SAMN08434841,812956529,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629947,GSM2970811,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970811,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652405,P45,RNA-Seq,138,2161146516,PRJNA432094,SAMN08434840,761937456,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629948,GSM2970812,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970812,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652406,P45,RNA-Seq,138,2215878006,PRJNA432094,SAMN08434840,783203841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629948,GSM2970812,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970812,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652407,P45,RNA-Seq,138,1888462656,PRJNA432094,SAMN08434839,669777036,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629949,GSM2970813,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970813,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652408,P45,RNA-Seq,138,1978352406,PRJNA432094,SAMN08434839,695820482,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629949,GSM2970813,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970813,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652409,P45,RNA-Seq,138,2087949936,PRJNA432094,SAMN08434838,717259078,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629950,GSM2970814,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970814,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652410,P45,RNA-Seq,138,2146001982,PRJNA432094,SAMN08434838,738798172,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629950,GSM2970814,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970814,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652411,P45,RNA-Seq,138,2266465080,PRJNA432094,SAMN08434837,741563357,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629951,GSM2970815,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970815,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652412,P45,RNA-Seq,138,2395238538,PRJNA432094,SAMN08434837,783126838,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629951,GSM2970815,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970815,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652413,P45,RNA-Seq,138,1801269150,PRJNA432094,SAMN08434836,622652343,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629952,GSM2970816,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970816,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652414,P45,RNA-Seq,138,1848755088,PRJNA432094,SAMN08434836,641106215,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629952,GSM2970816,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970816,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652415,P45,RNA-Seq,138,2108881914,PRJNA432094,SAMN08434835,725618671,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629953,GSM2970817,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970817,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652416,P45,RNA-Seq,138,2211543288,PRJNA432094,SAMN08434835,758460742,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629953,GSM2970817,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970817,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652417,P45,RNA-Seq,138,2162092230,PRJNA432094,SAMN08434834,740057018,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629954,GSM2970818,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970818,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652418,P45,RNA-Seq,138,2222445012,PRJNA432094,SAMN08434834,762401638,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629954,GSM2970818,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970818,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652419,P45,RNA-Seq,138,2214916008,PRJNA432094,SAMN08434833,729278723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629955,GSM2970819,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970819,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652420,P45,RNA-Seq,138,2333979096,PRJNA432094,SAMN08434833,768105303,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629955,GSM2970819,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970819,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652421,P45,RNA-Seq,138,2142128184,PRJNA432094,SAMN08434832,704181418,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629956,GSM2970820,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970820,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652422,P45,RNA-Seq,138,2244093900,PRJNA432094,SAMN08434832,737501285,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629956,GSM2970820,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970820,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652423,P45,RNA-Seq,138,2197824984,PRJNA432094,SAMN08434831,721083960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629957,GSM2970821,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970821,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652424,P45,RNA-Seq,138,2303118156,PRJNA432094,SAMN08434831,755393724,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629957,GSM2970821,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970821,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652425,P45,RNA-Seq,138,1164658314,PRJNA432094,SAMN08434830,395502049,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629958,GSM2970822,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970822,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652426,P45,RNA-Seq,138,2113398654,PRJNA432094,SAMN08434830,700583453,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629958,GSM2970822,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970822,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652427,P45,RNA-Seq,138,2063367444,PRJNA432094,SAMN08434829,684617528,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629959,GSM2970823,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970823,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652428,P45,RNA-Seq,138,1125068046,PRJNA432094,SAMN08434829,380972581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629959,GSM2970823,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970823,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652429,P45,RNA-Seq,138,1965725130,PRJNA432094,SAMN08434828,654247417,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629960,GSM2970824,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970824,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652430,P45,RNA-Seq,138,2065099482,PRJNA432094,SAMN08434828,687562860,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629960,GSM2970824,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970824,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652431,P45,RNA-Seq,138,1759349856,PRJNA432094,SAMN08434827,580821503,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629961,GSM2970825,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970825,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652432,P45,RNA-Seq,138,1840545606,PRJNA432094,SAMN08434827,607647853,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629961,GSM2970825,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970825,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652433,P45,RNA-Seq,138,2306838912,PRJNA432094,SAMN08434826,757848970,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629962,GSM2970826,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970826,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652434,P45,RNA-Seq,138,1273494084,PRJNA432094,SAMN08434826,426209306,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629962,GSM2970826,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970826,male,Striatum_ASD 24,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652435,P45,RNA-Seq,138,2060956308,PRJNA432094,SAMN08434825,682746419,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629963,GSM2970827,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970827,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652436,P45,RNA-Seq,138,2176756524,PRJNA432094,SAMN08434825,720884959,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629963,GSM2970827,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970827,male,Striatum_ASD 3,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652437,P45,RNA-Seq,138,1251107172,PRJNA432094,SAMN08434824,419213134,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629964,GSM2970828,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970828,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652438,P45,RNA-Seq,138,2337788310,PRJNA432094,SAMN08434824,770960024,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629964,GSM2970828,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970828,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652439,P45,RNA-Seq,138,2050126206,PRJNA432094,SAMN08434823,710950800,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629965,GSM2970829,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970829,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652440,P45,RNA-Seq,138,2110884432,PRJNA432094,SAMN08434823,733487911,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629965,GSM2970829,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970829,male,Striatum_ASD 11,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652441,P45,RNA-Seq,138,2037250806,PRJNA432094,SAMN08434822,673063156,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629966,GSM2970830,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970830,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652442,P45,RNA-Seq,138,2150171100,PRJNA432094,SAMN08434822,710191501,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629966,GSM2970830,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970830,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652443,P45,RNA-Seq,138,1876737210,PRJNA432094,SAMN08434821,643716599,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629967,GSM2970831,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970831,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652444,P45,RNA-Seq,138,1929988512,PRJNA432094,SAMN08434821,663912702,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629967,GSM2970831,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970831,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652445,P45,RNA-Seq,138,1108080246,PRJNA432094,SAMN08434820,379345433,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629968,GSM2970832,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970832,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652446,P45,RNA-Seq,138,2014038930,PRJNA432094,SAMN08434820,669939926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629968,GSM2970832,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970832,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652447,P45,RNA-Seq,138,1806903690,PRJNA432094,SAMN08434819,593970280,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629969,GSM2970833,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970833,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
